companyname,companyid,transcriptid,call_date,headline,turn_index,transcriptcomponentid,transcriptcomponenttypeid,component_type,speaker_name,speaker_type,turn_text
"Tesla, Inc.",27444752,3003182,2024-01-24,"Tesla, Inc., Q4 2023 Earnings Call, Jan 24, 2024",1,109819064,4,Answer,Martin Viecha,Executives,"Thank you, and let's go through investor questions. Question #1 is from Michael. Given that you moved the start of the next-generation compact vehicle production to Austin, has the time line improved so that we might see the next-generation platform vehicles in 2025?"
"Tesla, Inc.",27444752,3003182,2024-01-24,"Tesla, Inc., Q4 2023 Earnings Call, Jan 24, 2024",2,109819065,4,Answer,Elon Musk,Executives,"We -- I mean I won't certainly say things with -- that should be taken with a grain of salt since I'm often optimistic. But I don't want to blow your mind, but I'm often optimistic regarding time. But our current schedule shows that we will start production towards the end of 2025, sometime in the second half. That's just what our current schedule says. There's a lot of new technology, like a tremendous amount of new revolutionary manufacturing technology here.\"
"Tesla, Inc.",27444752,3003182,2024-01-24,"Tesla, Inc., Q4 2023 Earnings Call, Jan 24, 2024",3,109819066,4,Answer,Martin Viecha,Executives,Thank you. The next question is from Michael again. What has been the barrier to ramping 4680 cells into multimillion cells per week rate? And when do you expect to get there? Drew?
"Tesla, Inc.",27444752,3003182,2024-01-24,"Tesla, Inc., Q4 2023 Earnings Call, Jan 24, 2024",4,109819067,4,Answer,Drew Baglino,Executives,"Yes. First, I just want to allay any concerns regarding 4680 limiting the Cybertruck ramp because I've seen some people commenting about that. Today, 4680 production is ahead of the ramp with actually weeks of finished cell inventory. And the goal is to keep it that way not only for Cyber but for our future vehicle programs. And as Elon said, it is an S curve here too. Like it's hard to predict these things. But I'm just describing our goals."
"Tesla, Inc.",27444752,3003182,2024-01-24,"Tesla, Inc., Q4 2023 Earnings Call, Jan 24, 2024",5,109819068,4,Answer,Elon Musk,Executives,It's a hard problem. Like there are entire companies where all they do is make battery cells. That's like all they do.
"Tesla, Inc.",27444752,3003182,2024-01-24,"Tesla, Inc., Q4 2023 Earnings Call, Jan 24, 2024",6,109819069,4,Answer,Drew Baglino,Executives,Indeed. Indeed.
"Tesla, Inc.",27444752,3003182,2024-01-24,"Tesla, Inc., Q4 2023 Earnings Call, Jan 24, 2024",7,109819070,4,Answer,Elon Musk,Executives,We do a lot of other things. And we've got a lot of breakthrough technologies that take time to figure out what is -- it's not just that it's a 46-millimeter diameter by 80-millimeter fuel cell. That's just the dimensions. There's tremendous amount of new technology in the cell itself.
"Tesla, Inc.",27444752,3003182,2024-01-24,"Tesla, Inc., Q4 2023 Earnings Call, Jan 24, 2024",8,109819071,4,Answer,Drew Baglino,Executives,And manufacturing technology.
"Tesla, Inc.",27444752,3003182,2024-01-24,"Tesla, Inc., Q4 2023 Earnings Call, Jan 24, 2024",9,109819072,4,Answer,Elon Musk,Executives,"Yes, exactly."
"Tesla, Inc.",27444752,3003182,2024-01-24,"Tesla, Inc., Q4 2023 Earnings Call, Jan 24, 2024",10,109819073,4,Answer,Drew Baglino,Executives,"And just regarding what the team was able to do in Q4, Texas successfully swapped line 1 from the Model Y design of the cell to the Cybertruck design of the cell, which was the 10% cell energy increase I've mentioned before. And as with any major new product introduction, the factory and engineering teams collaborated to ensure quality of the new design and the process changes as their first priority. And now our focus returns to cost and production ramp in Q1.\"
