companyname,companyid,transcriptid,call_date,headline,turn_index,transcriptcomponentid,transcriptcomponenttypeid,component_type,speaker_name,speaker_type,turn_text
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",1,115749976,3,Question,Scott Davis,Analysts,"Congrats to all on a good start here. Yes, I want to talk a little bit about this operational transformation. It seems like a pretty heavy lift, but obviously, you're making some progress. But last quarter, you spent some time on supply chain, not as -- in prepared remarks, not as much this quarter. How big of an opportunity -- is that kind of step 2 or step 3 down the road in kind of getting the supply chain reoriented? And how big of an opportunity do you think that is, Bill, now that you've had a little bit more time in the seat?"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",2,115749977,4,Answer,William Brown,Executives,"So Scott, thanks for the question. Look, we continue to make good progress across all of the elements in our operations. Our cost of goods sold is $13 billion. A piece of it, a big piece of it is supply chain. So obviously, that is a high degree of focus. We're looking to drive 2% net productivity, so 2% net of inflation across all those elements, including in supply chain. We have about 25,000 direct suppliers, including 4,000 contract manufacturers. Our teams are working hard to consolidate that, drive performance, and we continue to do a good job on this. I think we're at the front end of what I would say to be a long journey. I think we get a lot of value out of basic negotiations. I think we have a lot more opportunity. As we think more about value engineering in our product, that's a relatively small component of our overall supply savings. \"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",3,115749978,3,Question,Scott Davis,Analysts,"That's helpful. And Bill, you talked a little bit about needing to change the incentive structure a little bit. Will you -- do you think you'll have a new incentive structure and comp plan in place for 2025? \"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",4,115749979,4,Answer,William Brown,Executives,"So good question, Scott. I think -- but before we get to the comp plan, I think what's going to be more important for us is to make sure we have very clear objectives across the management team deep in these organizations so we all understand what we're accountable to achieve to shareowners and to one another. I think that's step 1. \"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",5,115749981,3,Question,Andrew Obin,Analysts,"I guess I'll ask two questions, follow-up on Scott's questions. Just Bill, what are your views on centralization inside 3M? I know Mike pushed for a lot of centralization, which was a departure from what his predecessor, Inge Thulin, has done, which ran the company in very, very decentralized way. So I just would love to hear how your operating philosophy has evolved since you joined the company. That's part one. \"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",6,115749982,4,Answer,William Brown,Executives,"Great, Andrew. Thanks for the questions. I mean first of all, I think about 2.5 years ago, Mike did consolidate all of our factories and supply chains under a common leader, under Peter Gibbons. I think it was the right thing to do. It allows us to look across 110 plus or minus factories and close to 100 -- between 80 and 100 distribution centers and really look at performance, performance metrics, how they compare with one another. It's a network, they flow together. So artificially separating them by a business group or by geography did not make a lot of sense. So you'll get the power of the whole by looking at all of the operations together. \"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",7,115749984,3,Question,Nigel Coe,Analysts,"And Bill, thanks for the update. These are really helpful. On that insurance point, I just wonder, could you maybe clarify what the total coverage would be [ from a point of perspective ]? And I understand that you're working on ramping up the recoveries there. \"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",8,115749985,4,Answer,William Brown,Executives,"So thanks for the question, Nigel. I don't think I can say much more on the insurance recoveries or how much we're getting, I mean, other than what we've captured to date. So I think we'll update you on that as we go. We expect that to ramp a bit better. \"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",9,115749986,3,Question,Nigel Coe,Analysts,"Okay. Bill, that's helpful. And then maybe Anurag, congratulations on the new role. Just wanted to maybe get a bit more color on 4Q, especially it looks like 1% organic growth very much on trend. But it looks like the 4Q margins come in about 20.5% at the high end, quite a big step-down Q to Q. I just want to make sure that's the right math. And any below-the-line color would be helpful."
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",10,115749987,4,Answer,Anurag Maheshwari,Executives,"Great. Thanks a lot, Nigel. I think you covered it. The Q4 margins are pretty much in line with what we expected. Sequentially, Q4 has been lighter than Q3 margins by about 300 to 350 basis points due to seasonality, which translates into lower sequential revenue of about $200 million, lower under-absorption in the factories due to shutdowns, inventory management and timing of cost and investments. \"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",11,115749989,3,Question,Jeffrey Sprague,Analysts,"Welcome aboard, Anurag. I just wanted to come back a little bit in the neighborhood of some of these earlier questions. Predominantly, I just want to get a sense of the fact we're kind of at the tail end of the prior restructuring. I think you did $165 million of spending in the first half and had something like $110 million to go in the second half. So I'm trying to get a sense if that is still on track. \"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",12,115749990,4,Answer,William Brown,Executives,"Jeff, it's good questions. I mean first, on the restructuring, we are on track. Your numbers are right, $165 million in the front half and about $110 million or so in the back half of the guidance, so $275 million for the year. That's about where we're at. And there's a little bit more that will tail into next year to complete the program. \"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",13,115749991,3,Question,Jeffrey Sprague,Analysts,"Great. Understood. And then just thinking about kind of the capital deployment question, you stepped up on buyback a bit in the quarter in spite of writing a sizable liability check. \"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",14,115749992,4,Answer,William Brown,Executives,"So I'll start in this, Jeff, and I'll turn it over to Anurag, as the new CFO, to offer his thoughts because I know he's been putting a lot of time on this. But yes, I mean, we did step up here in Q3 on repurchases at about $700 million. It's $1.1 billion year-to-date. Look, we're generating good cash flow. We don't see, on the horizon going out through next year, big liability payments that aren't already on our balance sheet. So we've got an opportunity to deploy capital. I think we were smart in doing that here in Q3. We've got capacity. We ended Q3 with a pretty hefty cash balance. Our leverage ratios remain pretty attractive. We've got an open authorization from the Board. \"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",15,115749993,4,Answer,Anurag Maheshwari,Executives,"Sure. Jeff, I really believe that our capital structure is actually solid from a cash balance, leverage, cash flow generation and optionality perspective, which allows the optimal capital deployment and allocation.\"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",16,115749995,3,Question,Julian Mitchell,Analysts,"Welcome, Anurag. Maybe, Bill, a lot of very good color on the -- some specific sort of tools around driving operational excellence. But maybe trying to tie it together, I think at a conference forum about 6 weeks ago or so, you talked about getting gross margins for 3M into the high 40s. Right now, you're sort of 42-ish or so rate, including some charges.\"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",17,115749996,4,Answer,William Brown,Executives,"Yes. So Julian, it's a good question. We are running kind of in the low to mid-40s right now on gross margin in the 43%, 44% range, plus or minus. There are points in time in the past where we were high 40s. That's excluding health care.\"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",18,115749997,3,Question,Julian Mitchell,Analysts,That's helpful. And just circling back on your top line comment just there. So you're moving at about sort of 1 point of organic growth through the second half year-on-year. Just wondered how you're looking at the overall sort of demand environment into next year.\
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",19,115749998,4,Answer,William Brown,Executives,"Look, 1% organic this year isn't what we should be aspiring to. Again, it's the middle of the range we set a couple of months ago. It's traveling in the order of where the market happens to be.\"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",20,115750000,3,Question,Nicole DeBlase,Analysts,"Maybe just a little bit more on some of the portfolio review comments you made at the beginning, Bill. I guess any thoughts on like what types of businesses could be considered noncore? And if there's anything chunky coming or if these are all kind of like smaller divisions or businesses that you're looking at?"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",21,115750001,4,Answer,William Brown,Executives,"Yes, Nicole, thanks for the question. Look, I mentioned last time, I did it very purposely that we're going to take a fresh dispassionate look at the portfolio, as you would expect I would do coming into this new company.\"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",22,115750002,3,Question,Nicole DeBlase,Analysts,Okay. Got it. That's clear. And then maybe just on the business trends. What did you guys see in China in the quarter? And any thoughts on 3M's ability to benefit from stimulus activity happening there?
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",23,115750003,4,Answer,William Brown,Executives,"So China for us is a pretty good-sized market. It's about 10% of our sales. Year-to-date, we're up about 11%, more or less, a little bit higher than that in the first half. A lot of it driven by automotive, up mid-single digits here in the third quarter, pretty much in line with, I think, where the market is in China. So we feel pretty good about what's happening there, again, a lot of it is driven by automotive.\"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",24,115750004,4,Answer,Bruce Jermeland,Executives,"Nicole, just to quickly clarify. The strength has been in electronics in China, not automotive. All in, we're up about 11% year-to-date. Ex electronics, we're up roughly about 3% organically."
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",25,115750006,3,Question,C. Stephen Tusa,Analysts,"Sorry, didn't come through very clearly. Can you hear me now?"
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",26,115750008,4,Answer,Bruce Jermeland,Executives,"Yes, we hear you, Steve."
3M Company,289194,3286229,2024-10-22,"3M Company, Q3 2024 Earnings Call, Oct 22, 2024",27,115750009,3,Question,C. Stephen Tusa,Analysts,"Sorry about that. Anurag, congratulations, and looking forward to working with you here. Just wanted to delve into price a little bit more. In this algorithm of productivity and gross margin, where does price play into that? And are you expecting to get back to that kind of a positive margin price/cost spread going forward?"
